"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2"
1,47343,4.6e+05,-5589.8
3,47224,4.575e+05,-5691.5
419,50793,4.575e+05,-6421
354,50912,4.6e+05,-6339.3
4,47106,4.55e+05,-5803.7
420,50680,4.55e+05,-6507.5
5,46982,4.525e+05,-5893.5
421,50560,4.525e+05,-6562.7
6,46849,4.5e+05,-5989.2
422,50432,4.4999e+05,-6610.2
7,46699,4.475e+05,-6070.2
423,50280,4.4749e+05,-6669.4
8,46527,4.45e+05,-6157.9
424,50108,4.4499e+05,-6726.4
9,46329,4.425e+05,-6236.5
425,49904,4.425e+05,-6785.3
10,46098,4.4001e+05,-6320.4
426,49673,4.4e+05,-6848.2
11,45829,4.3752e+05,-6395.6
427,49401,4.3751e+05,-6915.9
12,45519,4.3503e+05,-6470.7
428,49095,4.3501e+05,-6947.1
13,45172,4.3255e+05,-6548.7
429,48756,4.3253e+05,-6986
14,44798,4.3008e+05,-6617.4
430,48396,4.3005e+05,-7014.4
15,44402,4.276e+05,-6677.2
431,48016,4.2759e+05,-7069.9
16,43994,4.2513e+05,-6744.8
432,47640,4.2513e+05,-7132.6
17,43579,4.2266e+05,-6731.3
433,47237,4.2266e+05,-7189.9
18,43165,4.2019e+05,-6713.1
434,46827,4.2019e+05,-7234.3
19,42760,4.1772e+05,-6688.2
435,46426,4.1772e+05,-7251.8
20,42372,4.1524e+05,-6659
436,46025,4.1525e+05,-7252.9
21,42007,4.1276e+05,-6586.7
437,45640,4.1277e+05,-7227.5
22,41670,4.1028e+05,-6524.6
438,45290,4.1028e+05,-7192.8
23,41359,4.078e+05,-6460.2
439,44967,4.078e+05,-7163.2
24,41073,4.0531e+05,-6400.3
440,44668,4.0531e+05,-7129.5
25,40810,4.0282e+05,-6343.1
441,44396,4.0282e+05,-7083.4
26,40569,4.0032e+05,-6284.8
442,44139,4.0033e+05,-7027.8
27,40348,3.9783e+05,-6216.9
443,43901,3.9783e+05,-6963.8
28,40145,3.9533e+05,-6137.4
444,43679,3.9533e+05,-6901.9
29,39958,3.9283e+05,-6066.3
445,43479,3.9284e+05,-6838.3
30,39785,3.9034e+05,-5966.4
446,43285,3.9034e+05,-6770.6
31,39626,3.8784e+05,-5889.2
447,43110,3.8784e+05,-6695.9
32,39479,3.8534e+05,-5803.5
448,42948,3.8534e+05,-6623.8
33,39344,3.8284e+05,-5725.8
449,42805,3.8284e+05,-6539.5
34,39219,3.8033e+05,-5651.8
450,42675,3.8034e+05,-6470.1
35,39106,3.7783e+05,-5575.6
451,42557,3.7783e+05,-6392.9
36,39002,3.7533e+05,-5508
452,42452,3.7533e+05,-6317.3
37,38909,3.7283e+05,-5440.2
453,42356,3.7283e+05,-6241.6
38,38825,3.7032e+05,-5386.8
454,42272,3.7033e+05,-6170.3
39,38750,3.6782e+05,-5322.8
455,42194,3.6783e+05,-6100.5
40,38683,3.6532e+05,-5265.5
456,42125,3.6533e+05,-6031.5
41,38625,3.6281e+05,-5207.9
457,42065,3.6282e+05,-5962.5
42,38580,3.6031e+05,-5152.3
458,42018,3.6032e+05,-5896.8
43,38553,3.578e+05,-5100.8
459,41987,3.5782e+05,-5835.5
44,38548,3.553e+05,-5046.8
460,41975,3.5533e+05,-5778
45,38570,3.5279e+05,-5005.4
461,41989,3.5283e+05,-5731.3
46,38625,3.5029e+05,-4967.1
462,42032,3.5034e+05,-5691.6
47,38717,3.4778e+05,-4933.9
463,42110,3.4785e+05,-5662.9
48,38851,3.4528e+05,-4927.8
464,42231,3.4536e+05,-5648.7
49,39032,3.4278e+05,-4936.3
465,42398,3.4288e+05,-5651.4
50,39265,3.4029e+05,-4957.8
466,42617,3.4039e+05,-5675.5
51,39551,3.378e+05,-4999.9
467,42896,3.3791e+05,-5712
52,39884,3.3531e+05,-5062.6
468,43226,3.3543e+05,-5765.5
53,40260,3.3284e+05,-5143.1
469,43598,3.3296e+05,-5827.8
54,40672,3.3037e+05,-5236.5
470,44012,3.3049e+05,-5902.6
55,41115,3.279e+05,-5340.3
471,44460,3.2802e+05,-5982.4
56,41584,3.2545e+05,-5448.8
472,44923,3.2556e+05,-6061.4
57,42073,3.2299e+05,-5564.7
473,45409,3.2311e+05,-6131.2
58,42578,3.2054e+05,-5665.3
474,45890,3.2066e+05,-6198.9
59,43093,3.1809e+05,-5752.1
475,46375,3.1821e+05,-6265.3
60,43613,3.1564e+05,-5836.1
476,46875,3.1577e+05,-6352.8
61,44138,3.1319e+05,-5916
477,47386,3.1332e+05,-6428.5
62,44670,3.1074e+05,-5976.8
478,47912,3.1087e+05,-6489.7
63,45212,3.083e+05,-6034.3
479,48461,3.0842e+05,-6543
64,45766,3.0585e+05,-6084.1
480,49012,3.0598e+05,-6596.5
65,46336,3.0341e+05,-6135.2
481,49603,3.0356e+05,-6665
66,46923,3.0098e+05,-6209.5
482,50186,3.0113e+05,-6737.6
67,47529,2.9855e+05,-6282
483,50795,2.987e+05,-6796
68,48157,2.9612e+05,-6354.4
484,51424,2.9628e+05,-6861.6
69,48808,2.937e+05,-6441.2
485,52091,2.9389e+05,-6942.9
70,49520,2.9131e+05,-6565.1
486,52848,2.9148e+05,-7016.5
71,50410,2.8897e+05,-6728.7
487,53788,2.8912e+05,-7118.1
72,51607,2.8678e+05,-6926.8
488,54960,2.8692e+05,-7170
73,53219,2.8488e+05,-7109.8
489,56403,2.85e+05,-7224.6
74,55012,2.8313e+05,-7203.5
490,57954,2.8326e+05,-7297.2
75,56806,2.8138e+05,-7274.9
491,59673,2.8152e+05,-7428.3
76,58577,2.7962e+05,-7395.8
492,61457,2.7974e+05,-7602.3
77,60308,2.7781e+05,-7568.3
493,63199,2.7792e+05,-7799.1
78,62308,2.7632e+05,-7775.3
494,65208,2.7641e+05,-8021.7
79,64308,2.7482e+05,-7987.3
495,67188,2.7488e+05,-8237.6
80,66307,2.7333e+05,-8195.2
496,69179,2.7334e+05,-8438.5
81,67285,2.7116e+05,-8309.9
497,70121,2.7119e+05,-8522.3
82,67849,2.6872e+05,-8372.3
498,70644,2.6876e+05,-8575.4
83,68414,2.6628e+05,-8443.1
499,71187,2.6634e+05,-8634.2
84,68979,2.6384e+05,-8514.7
500,71721,2.6391e+05,-8705.5
85,69586,2.6141e+05,-8583.1
501,72329,2.6147e+05,-8775
86,70276,2.5901e+05,-8634.3
502,73010,2.5907e+05,-8828.7
87,70967,2.566e+05,-8653.1
503,73686,2.5664e+05,-8842.6
88,71658,2.5419e+05,-8642.5
504,74342,2.5424e+05,-8821
89,72348,2.5178e+05,-8617.4
505,75022,2.5181e+05,-8793.4
90,72728,2.4932e+05,-8566
506,75380,2.4938e+05,-8735.7
91,72860,2.4682e+05,-8500.2
507,75511,2.4689e+05,-8668.4
92,72993,2.4432e+05,-8442.2
508,75651,2.4437e+05,-8607.8
93,73125,2.4182e+05,-8391.5
509,75779,2.4187e+05,-8543.3
94,73258,2.3931e+05,-8335.6
510,75903,2.3938e+05,-8476.4
95,73390,2.3681e+05,-8279.6
511,76025,2.3689e+05,-8417.8
96,73634,2.3433e+05,-8234.7
512,76263,2.344e+05,-8372
97,74895,2.3218e+05,-8253.5
513,77499,2.3224e+05,-8393.6
98,76518,2.3027e+05,-8297.1
514,79079,2.3032e+05,-8441.4
99,78040,2.2828e+05,-8348.8
515,80537,2.2832e+05,-8497.3
100,79424,2.2619e+05,-8413.5
516,81894,2.2622e+05,-8569.6
101,80676,2.2402e+05,-8497.8
517,83135,2.2406e+05,-8662.5
102,81808,2.2179e+05,-8591.8
518,84278,2.2182e+05,-8763.5
103,82835,2.1951e+05,-8691.3
519,85274,2.1955e+05,-8879.4
104,83778,2.1719e+05,-8814.6
520,86178,2.1722e+05,-9003.3
105,84658,2.1485e+05,-8947.4
521,87059,2.1489e+05,-9143.5
106,85496,2.1249e+05,-9095.2
522,87887,2.1252e+05,-9294.8
107,86316,2.1013e+05,-9250.7
523,88694,2.1016e+05,-9453
108,87137,2.0777e+05,-9408
524,89501,2.0781e+05,-9619.8
109,87961,2.0541e+05,-9578.6
525,90325,2.0546e+05,-9811.9
110,88785,2.0305e+05,-9781.6
526,91131,2.031e+05,-10034
111,89610,2.0069e+05,-9961.5
527,91922,2.0073e+05,-10225
112,90431,1.9833e+05,-10108
528,92738,1.9836e+05,-10382
113,91248,1.9596e+05,-10208
529,93554,1.9597e+05,-10486
114,92058,1.9359e+05,-10261
530,94370,1.9359e+05,-10537
115,92858,1.9121e+05,-10268
531,95162,1.9121e+05,-10532
116,93646,1.8884e+05,-10233
532,95936,1.8882e+05,-10458
117,94420,1.8645e+05,-10157
533,96706,1.8645e+05,-10351
118,95180,1.8407e+05,-10056
534,97443,1.8406e+05,-10222
119,95932,1.8168e+05,-9956.2
535,98143,1.8171e+05,-10107
120,96681,1.7929e+05,-9844.3
536,98857,1.7932e+05,-10009
121,97430,1.769e+05,-9732
537,99580,1.7692e+05,-9909.5
122,98185,1.7452e+05,-9614.3
538,1.0032e+05,1.7453e+05,-9791.4
123,98951,1.7213e+05,-9502.1
539,1.0108e+05,1.7215e+05,-9677.6
124,99732,1.6975e+05,-9413.6
540,1.0185e+05,1.6977e+05,-9588.9
125,1.0053e+05,1.6738e+05,-9357.1
541,1.0265e+05,1.674e+05,-9548.8
126,1.0136e+05,1.6501e+05,-9328.2
542,1.0348e+05,1.6503e+05,-9516
127,1.0221e+05,1.6266e+05,-9284.8
543,1.0432e+05,1.6267e+05,-9481.2
128,1.0307e+05,1.6031e+05,-9242.5
544,1.0516e+05,1.6032e+05,-9456.3
129,1.0395e+05,1.5796e+05,-9194.1
545,1.0601e+05,1.5797e+05,-9429
130,1.0483e+05,1.5561e+05,-9145.7
546,1.0687e+05,1.5563e+05,-9386.6
131,1.0571e+05,1.5327e+05,-9067.8
547,1.0774e+05,1.5328e+05,-9305.2
132,1.0658e+05,1.5092e+05,-8955.6
548,1.086e+05,1.5094e+05,-9197.7
133,1.0745e+05,1.4858e+05,-8818.1
549,1.0945e+05,1.4859e+05,-9048.5
134,1.0829e+05,1.4622e+05,-8658.7
550,1.1029e+05,1.4624e+05,-8904.3
135,1.0912e+05,1.4386e+05,-8553.4
551,1.111e+05,1.4387e+05,-8798.7
136,1.0991e+05,1.4148e+05,-8489.5
552,1.1187e+05,1.4149e+05,-8760.4
137,1.1069e+05,1.391e+05,-8486.3
553,1.1261e+05,1.3911e+05,-8755.9
138,1.1145e+05,1.3672e+05,-8487.5
554,1.1335e+05,1.3672e+05,-8757.4
139,1.122e+05,1.3432e+05,-8518.4
555,1.1407e+05,1.3433e+05,-8778.5
140,1.1295e+05,1.3193e+05,-8530.1
556,1.1478e+05,1.3194e+05,-8759.7
141,1.1369e+05,1.2954e+05,-8481.6
557,1.1549e+05,1.2954e+05,-8720.5
142,1.1444e+05,1.2715e+05,-8420.8
558,1.1621e+05,1.2715e+05,-8646.8
143,1.1519e+05,1.2476e+05,-8363
559,1.1693e+05,1.2476e+05,-8587
144,1.1596e+05,1.2238e+05,-8283.3
560,1.1767e+05,1.2238e+05,-8523.8
2,1.1675e+05,1.2e+05,-8232.4
146,1.1843e+05,1.2e+05,-8485
561,54421,4.575e+05,-6794
355,54535,4.6e+05,-6724.2
562,54309,4.55e+05,-6877.6
563,54187,4.5249e+05,-6923
564,54056,4.4999e+05,-6949.6
565,53904,4.4749e+05,-6994.7
566,53730,4.4499e+05,-7055.2
567,53525,4.425e+05,-7121.6
568,53290,4.4e+05,-7200.7
569,53017,4.3751e+05,-7276.9
570,52703,4.3501e+05,-7318.7
571,52352,4.3253e+05,-7323.1
572,51979,4.3005e+05,-7324.6
573,51590,4.2758e+05,-7354
574,51208,4.2512e+05,-7398.2
575,50801,4.2265e+05,-7452.1
576,50394,4.2019e+05,-7497.6
577,49993,4.1772e+05,-7532.4
578,49597,4.1525e+05,-7544.3
579,49217,4.1277e+05,-7543.9
580,48866,4.1029e+05,-7542.1
581,48534,4.0781e+05,-7536.2
582,48223,4.0532e+05,-7523.2
583,47936,4.0283e+05,-7509
584,47664,4.0034e+05,-7485.7
585,47416,3.9784e+05,-7460.8
586,47185,3.9534e+05,-7425.8
587,46974,3.9284e+05,-7393.5
588,46773,3.9035e+05,-7348.9
589,46592,3.8784e+05,-7294.4
590,46422,3.8534e+05,-7241.2
591,46271,3.8284e+05,-7173
592,46130,3.8034e+05,-7123.3
593,46004,3.7784e+05,-7060.6
594,45894,3.7534e+05,-6990.5
595,45788,3.7284e+05,-6932.6
596,45701,3.7034e+05,-6856.3
597,45616,3.6784e+05,-6790
598,45552,3.6534e+05,-6690.3
599,45477,3.6284e+05,-6652.4
600,45425,3.6034e+05,-6581.4
601,45387,3.5785e+05,-6520.9
602,45362,3.5537e+05,-6469.6
603,45353,3.5288e+05,-6427.6
