# Vertices from mesh.e
# Format: Node_ID X Y [Z]
# Number of nodes: 9648
1 47343.140625 460000.000000 -5589.757324
2 47224.222656 457499.187500 -5691.455078
3 50793.316406 457499.093750 -6420.982910
4 50911.863281 460000.000000 -6339.347656
5 47105.847656 454999.375000 -5803.718262
6 50679.675781 454998.156250 -6507.482910
7 46982.421875 452498.375000 -5893.454102
8 50560.335938 452495.437500 -6562.721191
9 46848.542969 449998.343750 -5989.225098
10 50431.769531 449993.968750 -6610.170410
11 46698.636719 447498.406250 -6070.247070
12 50280.007812 447492.062500 -6669.420410
13 46527.257812 445000.062500 -6157.861816
14 50108.468750 444993.218750 -6726.376465
15 46328.843750 442503.437500 -6236.506348
16 49904.480469 442496.187500 -6785.322266
17 46097.917969 440009.750000 -6320.444336
18 49672.750000 440002.312500 -6848.245117
19 45828.937500 437519.656250 -6395.593262
20 49400.898438 437507.531250 -6915.935059
21 45518.652344 435034.312500 -6470.699219
22 49094.996094 435013.875000 -6947.126953
23 45172.484375 432553.812500 -6548.663574
24 48755.500000 432529.062500 -6986.041016
25 44797.925781 430077.156250 -6617.449219
26 48395.687500 430055.000000 -7014.381836
27 44402.476562 427603.531250 -6677.206543
28 48015.812500 427589.875000 -7069.864258
29 43993.667969 425132.437500 -6744.830078
30 47640.164062 425125.718750 -7132.643555
31 43578.707031 422661.437500 -6731.268066
32 47236.683594 422662.562500 -7189.882324
33 43165.121094 420190.093750 -6713.143066
34 46827.332031 420194.250000 -7234.274902
35 42760.339844 417717.406250 -6688.152344
36 46426.031250 417721.281250 -7251.803711
37 42371.773438 415242.218750 -6659.004883
38 46025.304688 415245.031250 -7252.918945
39 42006.910156 412764.281250 -6586.657715
40 45639.601562 412766.781250 -7227.549316
41 41669.703125 410282.093750 -6524.634277
42 45289.503906 410283.531250 -7192.848633
43 41359.027344 407796.562500 -6460.224121
44 44967.468750 407797.812500 -7163.212402
45 41073.175781 405307.875000 -6400.292480
46 44667.792969 405308.875000 -7129.519043
47 40810.484375 402816.625000 -6343.083984
48 44396.496094 402818.156250 -7083.403320
49 40569.265625 400323.187500 -6284.779297
50 44139.171875 400325.125000 -7027.768555
51 40347.839844 397828.156250 -6216.918945
52 43901.085938 397830.406250 -6963.788574
53 40144.531250 395332.031250 -6137.388184
54 43679.484375 395334.031250 -6901.877930
55 39957.570312 392834.281250 -6066.279785
56 43479.210938 392835.750000 -6838.297852
57 39785.359375 390336.531250 -5966.442383
58 43285.175781 390336.781250 -6770.552246
59 39626.136719 387837.218750 -5889.194824
60 43109.515625 387836.781250 -6695.864258
61 39479.019531 385337.250000 -5803.460449
62 42948.054688 385336.781250 -6623.825195
63 39343.531250 382836.343750 -5725.823730
64 42805.296875 382836.187500 -6539.509766
65 39219.234375 380334.750000 -5651.775879
66 42674.777344 380335.625000 -6470.147461
67 39105.691406 377832.843750 -5575.583496
68 42556.707031 377835.000000 -6392.924316
69 39002.421875 375330.156250 -5507.990234
70 42452.113281 375333.781250 -6317.342285
71 38908.992188 372827.031250 -5440.193359
72 42355.906250 372832.500000 -6241.633789
73 38824.925781 370323.250000 -5386.771484
74 42271.781250 370330.031250 -6170.308105
75 38749.785156 367819.437500 -5322.830078
76 42194.085938 367827.375000 -6100.469727
77 38683.097656 365315.218750 -5265.497070
78 42125.222656 365326.531250 -6031.479980
79 38625.246094 362810.781250 -5207.927734
80 42065.207031 362824.031250 -5962.496094
81 38580.164062 360306.031250 -5152.276367
82 42018.218750 360322.250000 -5896.841309
83 38552.707031 357800.968750 -5100.835449
84 41987.433594 357824.031250 -5835.459473
85 38547.757812 355295.843750 -5046.757812
86 41975.394531 355328.843750 -5777.983887
87 38570.214844 352790.562500 -5005.443848
88 41989.132812 352833.875000 -5731.306641
89 38624.988281 350285.718750 -4967.052734
90 42031.558594 350341.500000 -5691.641113
91 38717.000000 347781.906250 -4933.909180
92 42109.761719 347850.218750 -5662.850098
93 38851.140625 345280.000000 -4927.806152
94 42230.703125 345362.281250 -5648.701660
95 39032.292969 342780.906250 -4936.296387
96 42397.921875 342876.750000 -5651.401367
97 39265.191406 340286.125000 -4957.836914
98 42617.328125 340393.562500 -5675.543945
99 39550.910156 337797.062500 -4999.901367
100 42895.812500 337910.218750 -5711.963379
101 39884.328125 335314.406250 -5062.605957
102 43225.617188 335432.218750 -5765.483887
103 40259.796875 332838.250000 -5143.071777
104 43597.785156 332958.125000 -5827.791504
105 40671.800781 330368.375000 -5236.532715
106 44012.039062 330490.687500 -5902.622559
107 41114.906250 327904.281250 -5340.293945
108 44459.542969 328022.531250 -5982.412109
109 41583.816406 325445.156250 -5448.815918
110 44922.519531 325565.000000 -6061.389648
111 42073.226562 322990.406250 -5564.660645
112 45409.375000 323106.437500 -6131.182617
113 42578.101562 320538.125000 -5665.269531
114 45890.386719 320661.125000 -6198.905273
115 43093.191406 318087.437500 -5752.115234
116 46375.101562 318206.500000 -6265.253906
117 43613.425781 315637.718750 -5836.112305
118 46874.988281 315767.968750 -6352.759277
119 44138.140625 313188.812500 -5915.967285
120 47385.937500 313316.625000 -6428.528809
121 44670.093750 310740.906250 -5976.812012
122 47912.062500 310865.281250 -6489.661621
123 45211.925781 308295.156250 -6034.298828
124 48460.925781 308422.968750 -6542.952637
125 45766.332031 305852.031250 -6084.106934
126 49011.671875 305982.343750 -6596.462402
127 46335.789062 303412.375000 -6135.229980
128 49602.679688 303561.000000 -6664.953613
129 46922.527344 300977.437500 -6209.514160
130 50185.574219 301128.250000 -6737.642090
131 47528.847656 298547.218750 -6282.020508
132 50795.078125 298704.468750 -6796.006836
133 48156.656250 296122.437500 -6354.363281
134 51424.027344 296284.781250 -6861.565430
135 48807.750000 293704.312500 -6441.225586
136 52091.074219 293887.250000 -6942.880859
137 49520.144531 291305.531250 -6565.097656
138 52847.988281 291475.968750 -7016.523926
139 50409.601562 288969.906250 -6728.675781
140 53787.761719 289123.656250 -7118.083984
141 51607.394531 286781.562500 -6926.822266
142 54960.078125 286917.312500 -7169.956543
143 53219.214844 284879.125000 -7109.770020
144 56403.191406 285001.718750 -7224.638672
145 55011.753906 283131.593750 -7203.470703
146 57953.601562 283264.062500 -7297.222656
147 56806.332031 281384.468750 -7274.867676
148 59673.492188 281515.531250 -7428.281250
149 58576.761719 279615.468750 -7395.784180
150 61457.140625 279741.375000 -7602.336426
151 60307.867188 277812.718750 -7568.269531
152 63198.503906 277921.093750 -7799.066406
153 62308.308594 276318.031250 -7775.330566
154 65208.328125 276406.218750 -8021.735840
155 64307.820312 274822.718750 -7987.253906
156 67188.046875 274875.187500 -8237.553711
157 66307.484375 273327.031250 -8195.200195
158 69178.671875 273340.625000 -8438.526367
159 67284.625000 271163.906250 -8309.888672
160 70121.085938 271185.531250 -8522.327148
161 67849.414062 268723.406250 -8372.321289
162 70644.296875 268756.343750 -8575.350586
163 68414.156250 266283.125000 -8443.125977
164 71186.570312 266336.156250 -8634.178711
165 68978.890625 263842.875000 -8514.713867
166 71721.328125 263908.593750 -8705.501953
167 69585.515625 261413.421875 -8583.076172
168 72329.375000 261466.437500 -8775.034180
169 70276.156250 259005.328125 -8634.267578
170 73010.023438 259071.140625 -8828.725586
171 70966.875000 256596.765625 -8653.118164
172 73686.000000 256641.046875 -8842.642578
173 71657.625000 254188.109375 -8642.484375
174 74341.632812 254240.328125 -8820.995117
175 72348.265625 251779.531250 -8617.389648
176 75022.500000 251813.468750 -8793.440430
177 72727.968750 249320.156250 -8566.030273
178 75380.007812 249378.734375 -8735.656250
179 72860.460938 246818.750000 -8500.162109
180 75511.468750 246888.140625 -8668.414062
181 72992.804688 244317.140625 -8442.177734
182 75650.648438 244368.062500 -8607.773438
183 73125.164062 241815.375000 -8391.474609
184 75779.062500 241871.812500 -8543.301758
185 73257.507812 239313.718750 -8335.638672
186 75903.179688 239378.656250 -8476.361328
187 73389.843750 236812.062500 -8279.625977
188 76025.312500 236893.250000 -8417.808594
189 73633.812500 234325.718750 -8234.655273
190 76262.726562 234399.546875 -8371.987305
191 74894.765625 232178.015625 -8253.467773
192 77499.335938 232239.859375 -8393.571289
193 76518.335938 230270.046875 -8297.082031
194 79078.781250 230316.609375 -8441.433594
195 78039.945312 228280.531250 -8348.814453
196 80536.843750 228320.875000 -8497.337891
197 79423.851562 226193.156250 -8413.471680
198 81894.351562 226221.953125 -8569.560547
199 80675.812500 224024.609375 -8497.782227
200 83134.835938 224063.343750 -8662.511719
201 81807.562500 221791.250000 -8591.817383
202 84277.882812 221820.140625 -8763.477539
203 82835.304688 219508.375000 -8691.310547
204 85273.648438 219554.953125 -8879.407227
205 83778.117188 217190.203125 -8814.627930
206 86177.695312 217217.453125 -9003.251953
207 84657.562500 214847.671875 -8947.403320
208 87058.750000 214888.656250 -9143.486328
209 85495.867188 212490.937500 -9095.245117
210 87887.328125 212521.437500 -9294.802734
211 86315.890625 210128.234375 -9250.725586
212 88693.781250 210161.546875 -9453.035156
213 87136.843750 207766.000000 -9407.972656
214 89501.343750 207809.203125 -9619.831055
215 87960.937500 205405.796875 -9578.592773
216 90324.875000 205455.296875 -9811.919922
217 88785.429688 203048.359375 -9781.596680
218 91131.031250 203104.562500 -10034.291016
219 89609.507812 200688.921875 -9961.540039
220 91922.015625 200732.640625 -10225.320312
221 90431.132812 198326.250000 -10107.941406
222 92738.468750 198358.375000 -10381.587891
223 91248.085938 195959.609375 -10208.281250
224 93553.664062 195973.531250 -10485.861328
225 92057.914062 193588.906250 -10260.707031
226 94370.398438 193589.656250 -10537.286133
227 92858.054688 191214.390625 -10268.212891
228 95161.695312 191207.609375 -10531.531250
229 93646.039062 188836.031250 -10233.456055
230 95935.648438 188818.734375 -10458.494141
231 94419.562500 186453.890625 -10156.524414
232 96705.953125 186453.937500 -10350.776367
233 95180.023438 184068.406250 -10056.316406
234 97443.406250 184063.968750 -10221.972656
235 95932.203125 181680.296875 -9956.175781
236 98143.093750 181713.640625 -10106.757812
237 96680.601562 179291.546875 -9844.295898
238 98857.109375 179321.484375 -10008.748047
239 97430.062500 176903.125000 -9731.983398
240 99580.234375 176924.968750 -9909.458008
241 98185.171875 174516.718750 -9614.321289
242 100324.796875 174533.828125 -9791.429688
243 98950.750000 172133.421875 -9502.101562
244 101075.554688 172151.562500 -9677.597656
245 99731.656250 169754.171875 -9413.605469
246 101849.640625 169774.453125 -9588.873047
247 100532.554688 167380.593750 -9357.083008
248 102651.546875 167395.343750 -9548.831055
249 101357.601562 165014.734375 -9328.218750
250 103476.562500 165029.906250 -9515.996094
251 102205.375000 162657.140625 -9284.750977
252 104318.078125 162674.578125 -9481.196289
253 103070.257812 160305.750000 -9242.467773
254 105161.273438 160322.125000 -9456.298828
255 103946.437500 157958.656250 -9194.081055
256 106014.804688 157972.187500 -9429.001953
257 104828.203125 155613.656250 -9145.739258
258 106872.765625 155627.625000 -9386.594727
259 105709.562500 153269.359375 -9067.817383
260 107737.125000 153284.718750 -9305.205078
261 106584.617188 150924.140625 -8955.608398
262 108604.492188 150940.828125 -9197.711914
263 107447.679688 148575.875000 -8818.083008
264 109454.140625 148593.500000 -9048.450195
265 108293.054688 146222.484375 -8658.748047
266 110286.351562 146235.046875 -8904.301758
267 109116.250000 143858.468750 -8553.436523
268 111096.156250 143865.015625 -8798.741211
269 109914.539062 141484.468750 -8489.533203
270 111869.156250 141486.828125 -8760.356445
271 110692.007812 139102.515625 -8486.287109
272 112612.890625 139105.093750 -8755.850586
273 111453.351562 136715.343750 -8487.457031
274 113346.914062 136717.859375 -8757.360352
275 112203.562500 134324.765625 -8518.416016
276 114066.046875 134326.203125 -8778.519531
277 112947.789062 131932.109375 -8530.053711
278 114780.304688 131935.046875 -8759.675781
279 113690.875000 129539.679688 -8481.608398
280 115490.109375 129541.804688 -8720.503906
281 114438.000000 127148.679688 -8420.829102
282 116205.960938 127151.500000 -8646.754883
283 115194.273438 124760.546875 -8363.020508
284 116927.554688 124763.125000 -8586.996094
285 115964.539062 122377.539062 -8283.302734
286 117668.765625 122378.703125 -8523.799805
287 116753.554688 120000.000000 -8232.358398
288 118432.335938 120000.000000 -8484.953125
289 54421.457031 457498.718750 -6793.954102
290 54535.480469 460000.000000 -6724.209961
291 54308.847656 454997.718750 -6877.582520
292 54187.402344 452495.000000 -6923.025391
293 54056.117188 449993.781250 -6949.606445
294 53904.304688 447491.781250 -6994.686523
295 53730.191406 444993.468750 -7055.198730
296 53524.996094 442496.406250 -7121.584473
297 53289.988281 440002.812500 -7200.707520
298 53017.371094 437506.843750 -7276.866211
299 52702.789062 435012.125000 -7318.749512
300 52352.492188 432525.062500 -7323.133789
301 51979.328125 430047.687500 -7324.642578
302 51590.484375 427580.562500 -7354.034668
303 51207.976562 425116.156250 -7398.228516
304 50801.046875 422654.875000 -7452.056641
305 50394.402344 420190.312500 -7497.565918
306 49992.613281 417721.093750 -7532.385254
307 49596.722656 415246.375000 -7544.250977
308 49217.117188 412771.093750 -7543.873535
309 48865.914062 410290.718750 -7542.099121
310 48534.066406 407809.156250 -7536.150879
311 48223.402344 405321.375000 -7523.167969
312 47935.730469 402829.093750 -7509.010254
313 47663.609375 400336.781250 -7485.711914
314 47415.679688 397838.718750 -7460.847656
315 47185.238281 395343.031250 -7425.780762
316 46973.871094 392844.093750 -7393.499023
317 46773.136719 390345.031250 -7348.869141
318 46591.796875 387844.468750 -7294.373047
319 46422.234375 385344.000000 -7241.160645
320 46271.199219 382842.937500 -7172.972168
321 46130.089844 380343.125000 -7123.329102
322 46003.535156 377842.843750 -7060.628906
323 45893.742188 375342.312500 -6990.542969
324 45787.789062 372842.375000 -6932.581055
325 45701.171875 370340.843750 -6856.324707
326 45616.355469 367839.500000 -6790.039551
327 45552.074219 365341.625000 -6690.274414
328 45476.925781 362840.906250 -6652.388672
329 45424.871094 360343.875000 -6581.446289
330 45387.050781 357851.312500 -6520.937500
331 45362.089844 355365.593750 -6469.599609
332 45353.191406 352882.406250 -6427.608398
333 45377.933594 350400.625000 -6394.372559
334 45440.800781 347920.812500 -6366.529297
335 45538.902344 345443.750000 -6357.498047
336 45685.773438 342970.562500 -6356.623535
337 45894.468750 340491.968750 -6376.673828
338 46162.277344 338011.687500 -6393.663086
339 46468.187500 335535.281250 -6448.727539
340 46824.570312 333066.906250 -6525.497559
341 47221.355469 330601.125000 -6594.125977
342 47659.085938 328123.125000 -6669.800293
343 48138.015625 325652.468750 -6736.707520
344 48627.753906 323193.656250 -6801.019043
345 49151.710938 320757.343750 -6845.474121
346 49663.550781 318322.062500 -6895.936035
347 50176.179688 315887.625000 -6954.731934
348 50704.992188 313433.812500 -6995.791016
349 51234.121094 310976.593750 -7020.139648
350 51776.789062 308538.468750 -7037.336426
351 52330.750000 306110.343750 -7045.028809
352 52896.226562 303697.812500 -7067.217285
353 53481.351562 301270.437500 -7099.829590
354 54084.910156 298852.468750 -7132.991211
355 54696.554688 296431.031250 -7150.926270
356 55329.187500 294030.562500 -7180.914551
357 56015.707031 291594.750000 -7213.118652
358 56884.804688 289213.218750 -7244.883301
359 57920.097656 287021.875000 -7281.818359
360 59297.828125 285122.468750 -7366.334473
361 60835.789062 283394.250000 -7484.687012
362 62564.410156 281638.625000 -7642.181152
363 64363.859375 279852.968750 -7839.932617
364 66112.281250 278023.093750 -8054.586914
365 68122.406250 276484.125000 -8287.736328
366 70074.062500 274921.062500 -8493.961914
367 72007.296875 273369.718750 -8675.685547
368 72900.468750 271235.468750 -8757.171875
369 73382.554688 268815.062500 -8802.982422
370 73890.468750 266392.031250 -8860.486328
371 74404.773438 263953.218750 -8925.807617
372 75005.421875 261516.937500 -8998.128906
373 75662.328125 259102.421875 -9036.740234
374 76345.773438 256688.234375 -9050.095703
375 77002.984375 254276.578125 -9032.648438
376 77642.156250 251863.343750 -8992.471680
377 77975.031250 249441.703125 -8927.946289
378 78119.218750 246944.890625 -8859.933594
379 78259.812500 244411.203125 -8788.958008
380 78381.992188 241901.000000 -8709.416992
381 78499.804688 239435.843750 -8629.876953
382 78632.601562 236970.015625 -8570.030273
383 78865.859375 234474.546875 -8524.507812
384 80051.984375 232310.281250 -8548.880859
385 81579.781250 230378.953125 -8610.881836
386 83025.265625 228371.234375 -8684.607422
387 84358.625000 226253.328125 -8764.170898
