lon,lat,vx,vy,vz
-84.6024,10.5485,0.0041,0.0041,-0.0001
-84.6284,9.7241,0.0069,0.0069,0.0067
-85.2612,10.5414,0.0072,0.0072,-0.0001
-85.4484,10.3834,0.0087,0.0088,0
-85.2069,9.7438,0.0101,0.0101,-0.0047
-84.7756,10.1358,0.0042,0.0042,0.0002
-85.7761,10.2491,0.0075,0.0075,-0.0042
-85.3696,9.863,0.0105,0.0106,0.001
-85.6337,11.0543,0.0017,0.0017,-0.0005
-85.6106,10.2718,0.0091,0.0091,-0.0005
-85.653,10.5622,0.006,0.006,-0.002
-85.4497,10.14,0.0105,0.0106,-0.007
-85.6585,9.9231,0.0162,0.0162,-0.0099
-85.3824,10.0795,0.0112,0.0112,-0.0002
-85.136,9.9751,0.0084,0.0084,-0.0014
-85.1868,9.9365,0.0091,0.0091,-0.0036
-85.0742,9.6701,0.011,0.011,-0.0022
-85.8129,10.3553,0.0058,0.0058,-0.0038
-85.2203,10.2415,0.0084,0.0085,-0.0044
-84.9551,9.8322,0.0084,0.0084,-0.0027
-85.5691,10.8474,0.004,0.004,-0
-85.5488,9.8892,0.0152,0.0152,-0.0108
-84.9482,10.3656,0.0062,0.0062,-0.0001
-85.7569,10.0632,0.0115,0.0115,-0.008
-85.0983,10.6018,0.0057,0.0057,-0.0018
-85.7917,10.1611,0.0089,0.0089,-0.0055
-84.5769,9.75,0.0088,0.0088,0.0125
-85.2025,9.7645,0.0084,0.0085,-0.0048
-85.3435,10.2379,0.0138,0.0138,0.003
-85.5681,10.1409,0.0161,0.0161,0.0041
-85.6356,9.9155,0.0154,0.0154,-0.0114
-85.7101,10.2922,0.0077,0.0077,-0.0033
-85.3517,10.0177,0.0104,0.0105,-0.0035
-85.5022,9.8646,0.0138,0.0139,-0.0123
-84.9603,9.8071,0.014,0.014,-0.0137
-85.0312,9.9454,0.0075,0.0075,-0.0003
-85.0533,10.2675,0.0076,0.0076,-0.0001
-85.829,10.1955,0.0072,0.0072,-0.0069
-85.2725,10.114,0.0097,0.0097,-0.0028
-84.9667,10.0645,0.0073,0.0073,0.0011
-85.3573,9.8404,0.0096,0.0096,-0.0049
-85.7106,10.0671,0.012,0.012,-0.0073
-84.869,10.8536,0.0038,0.0039,-0.0027
