lon,lat,vx_Car,vy_Car,vz_Car,vx_std_Car,vy_std_Car,vz_std_Car
-84.6024,10.5485,0.0041,0.0040999999999999995,-0.0001,0.0007,0.0005,0.0012
-84.6284,9.7241,0.0069,0.006899999999999998,0.0067,0.0036,0.0014,0.005900000000000001
-85.2612,10.5414,0.007178174593052022,0.007221825406947977,-0.0001,0.0013,0.0007,0.0014
-85.4484,10.3834,0.007978174593052022,0.009521825406947975,0.0,0.0005,0.0006,0.0009
-85.2069,9.7438,0.009678174593052024,0.010621825406947975,-0.0047,0.0009,0.0009,0.002
-84.7756,10.1358,0.006478174593052022,0.001921825406947976,0.0002,0.0011,0.0011,0.0025
-85.7761,10.2491,0.007978174593052023,0.0070218254069479786,-0.004200000000000001,0.0008,0.0007,0.0018
-85.3696,9.863,0.0065781745930520216,0.01452182540694798,0.001,0.0034,0.0007,0.005900000000000001
-85.6337,11.0543,0.0014781745930520227,0.0019218254069479756,-0.0005,0.0008,0.0011,0.0016
-85.6106,10.2718,0.008178174593052022,0.010121825406947975,-0.0005,0.0009,0.0005,0.0018
-85.653,10.5622,0.005478174593052022,0.006521825406947977,-0.002,0.0005,0.0006,0.0009
-85.4497,10.14,0.009378174593052024,0.011721825406947977,-0.007,0.0015,0.0006,0.002
-85.6585,9.9231,0.01677817459305202,0.015621825406947974,-0.0099,0.0007,0.0007,0.0011
-85.3824,10.0795,0.011078174593052022,0.011421825406947975,-0.0002,0.0013,0.0005,0.0012
-85.136,9.9751,0.009678174593052022,0.007121825406947977,-0.0014,0.0006,0.0005,0.0009
-85.1868,9.9365,0.010278174593052022,0.007921825406947976,-0.0036,0.0008,0.0006,0.0016
-85.0742,9.6701,0.011000000000000001,0.011,-0.0022,0.0025,0.0015,0.0038
-85.8129,10.3553,0.005678174593052022,0.005921825406947975,-0.0038,0.001,0.0005,0.0011
-85.2203,10.2415,0.009178174593052021,0.007721825406947978,-0.0044,0.0006,0.0008,0.0016
-84.9551,9.8322,0.009178174593052021,0.007621825406947977,-0.0027,0.0006,0.0006,0.0014
-85.5691,10.8474,0.003778174593052021,0.004321825406947976,0.0,0.0015,0.0007,0.0017
-85.5488,9.8892,0.012878174593052023,0.01752182540694798,-0.0108,0.0007,0.0006,0.0009
-84.9482,10.3656,0.007878174593052022,0.004521825406947978,-0.0001,0.0006,0.0006,0.0012
-85.7569,10.0632,0.012678174593052021,0.010321825406947979,-0.008,0.0009,0.0006,0.0011
-85.0983,10.6018,0.005978174593052023,0.005521825406947976,-0.0018,0.0013,0.0008,0.0021000000000000003
-85.7917,10.1611,0.00997817459305202,0.007821825406947976,-0.0055,0.001,0.0007,0.0016
-84.5769,9.75,0.008750000000000003,0.00875,0.0125,0.0029,0.0036,0.0092
-85.2025,9.7645,0.008778174593052024,0.008121825406947976,-0.0048,0.0007,0.0008,0.0015
-85.3435,10.2379,0.014478174593052022,0.01302182540694798,0.003,0.0019,0.0024,0.0078
-85.5681,10.1409,0.01567817459305202,0.01662182540694798,0.0040999999999999995,0.002,0.0026,0.0073
-85.6356,9.9155,0.014678174593052023,0.016121825406947975,-0.0114,0.0008,0.0009,0.0018
-85.7101,10.2922,0.0072781745930520225,0.008121825406947976,-0.0033,0.0007,0.0007,0.0018
-85.3517,10.0177,0.010378174593052023,0.010521825406947977,-0.0035,0.0006,0.0006,0.0011
-85.5022,9.8646,0.010878174593052023,0.01682182540694798,-0.0123,0.0006,0.0006,0.0011
-84.9603,9.8071,0.01447817459305202,0.013621825406947974,-0.013699999999999999,0.002,0.0021000000000000003,0.0074
-85.0312,9.9454,0.008278174593052023,0.006821825406947975,-0.0003,0.0008,0.0008,0.0019
-85.0533,10.2675,0.008578174593052022,0.006621825406947977,-0.0001,0.0008,0.0008,0.0024
-85.829,10.1955,0.008378174593052021,0.006021825406947978,-0.006900000000000001,0.0007,0.0008,0.002
-85.2725,10.114,0.010378174593052021,0.009121825406947975,-0.0028,0.0006,0.0006,0.0011
-84.9667,10.0645,0.008278174593052022,0.006321825406947976,0.0011,0.0009,0.0009,0.0025
-85.3573,9.8404,0.007178174593052023,0.012021825406947979,-0.004900000000000001,0.0008,0.0008,0.0018
-85.7106,10.0671,0.012378174593052023,0.011621825406947976,-0.0073,0.0011,0.0012,0.0033
-84.869,10.8536,0.00385,0.0038499999999999997,-0.0027,0.0017,0.002,0.0068
