lon,lat,vx_Car,vy_Car,vz_Car,vx_std_Car,vy_std_Car,vz_std_Car
-84.6024,10.5485,0.0041,0.0041,-0.0001,0.0007,0.0005,0.0012
-84.6284,9.7241,0.0069,0.0069,0.0067,0.0036,0.0014,0.005900000000000001
-85.2612,10.5414,0.0071483346868859,0.007251665313114,-0.0001,0.0013,0.0007,0.0014
-85.4484,10.3834,0.0078483346868859,0.009651665313114,0.0,0.0005,0.0006,0.0009
-85.2069,9.7438,0.0096483346868859,0.010551665313114,-0.0047,0.0009,0.0009,0.002
-84.7756,10.1358,0.0064483346868859,0.001951665313114,0.0002,0.0011,0.0011,0.0025
-85.7761,10.2491,0.0079483346868859,0.007051665313114,-0.0042,0.0008,0.0007,0.0018
-85.3696,9.863,0.0065483346868859,0.0146516653131141,0.001,0.0034,0.0007,0.005900000000000001
-85.6337,11.0543,0.0014483346868859,0.001951665313114,-0.0005,0.0008,0.0011,0.0016
-85.6106,10.2718,0.0080483346868859,0.0101516653131141,-0.0005,0.0009,0.0005,0.0018
-85.653,10.5622,0.0054483346868859,0.006551665313114,-0.002,0.0005,0.0006,0.0009
-85.4497,10.14,0.0092483346868859,0.011851665313114,-0.007,0.0015,0.0006,0.002
-85.6585,9.9231,0.0167483346868859,0.0156516653131141,-0.0099,0.0007,0.0007,0.0011
-85.3824,10.0795,0.0110483346868859,0.0114516653131141,-0.0002,0.0013,0.0005,0.0012
-85.136,9.9751,0.0096483346868859,0.007151665313114,-0.0014,0.0006,0.0005,0.0009
-85.1868,9.9365,0.010248334686886,0.007951665313114,-0.0036,0.0008,0.0006,0.0016
-85.0742,9.6701,0.011,0.011,-0.0022,0.0025,0.0015,0.0038
-85.8129,10.3553,0.0056483346868859,0.005951665313114,-0.0038,0.001,0.0005,0.0011
-85.2203,10.2415,0.0090483346868859,0.007851665313114,-0.0044,0.0006,0.0008,0.0016
-84.9551,9.8322,0.0091483346868859,0.007651665313114,-0.0027,0.0006,0.0006,0.0014
-85.5691,10.8474,0.0037483346868859,0.004351665313114,-0.0,0.0015,0.0007,0.0017
-85.5488,9.8892,0.012848334686886,0.017551665313114,-0.0108,0.0007,0.0006,0.0009
-84.9482,10.3656,0.0078483346868859,0.004551665313114,-0.0001,0.0006,0.0006,0.0012
-85.7569,10.0632,0.0126483346868859,0.010351665313114,-0.008,0.0009,0.0006,0.0011
-85.0983,10.6018,0.0059483346868859,0.005551665313114,-0.0018,0.0013,0.0008,0.0021000000000000003
-85.7917,10.1611,0.0099483346868859,0.007851665313114,-0.0055,0.001,0.0007,0.0016
-84.5769,9.75,0.0088,0.0088,0.0125,0.0029,0.0036,0.0092
-85.2025,9.7645,0.0087483346868859,0.008251665313114,-0.0048,0.0007,0.0008,0.0015
-85.3435,10.2379,0.014448334686886,0.0131516653131141,0.003,0.0019,0.0024,0.0078
-85.5681,10.1409,0.015648334686886,0.0166516653131141,0.0041,0.002,0.0026,0.0073
-85.6356,9.9155,0.0146483346868859,0.0161516653131141,-0.0114,0.0008,0.0009,0.0018
-85.7101,10.2922,0.0072483346868859,0.008151665313114,-0.0033,0.0007,0.0007,0.0018
-85.3517,10.0177,0.0102483346868859,0.0106516653131141,-0.0035,0.0006,0.0006,0.0011
-85.5022,9.8646,0.010748334686886,0.0169516653131141,-0.0123,0.0006,0.0006,0.0011
-84.9603,9.8071,0.014448334686886,0.0136516653131141,-0.0137,0.002,0.0021000000000000003,0.0074
-85.0312,9.9454,0.0081483346868859,0.006851665313114,-0.0003,0.0008,0.0008,0.0019
-85.0533,10.2675,0.0085483346868859,0.006651665313114,-0.0001,0.0008,0.0008,0.0024
-85.829,10.1955,0.0083483346868859,0.006051665313114,-0.0069,0.0007,0.0008,0.002
-85.2725,10.114,0.0103483346868859,0.009151665313114,-0.0028,0.0006,0.0006,0.0011
-84.9667,10.0645,0.0082483346868859,0.006351665313114,0.0011,0.0009,0.0009,0.0025
-85.3573,9.8404,0.0071483346868859,0.012051665313114,-0.0049,0.0008,0.0008,0.0018
-85.7106,10.0671,0.0123483346868859,0.0116516653131141,-0.0073,0.0011,0.0012,0.0033
-84.869,10.8536,0.0038,0.0039,-0.0027,0.0017,0.002,0.0068
