Volcano Number,Latitude,Longitude,Elevation (m)
210010,50.17,6.85,600
210020,45.786,2.981,1464
210030,42.17,2.53,893
210040,38.87,-4.02,1117
211004,41.7569,12.7251,949
211010,40.827,14.139,458
211020,40.821,14.426,1281
211030,40.73,13.897,789
211031,39.48,14.83,-70
211040,38.789,15.213,924
211041,38.638,15.064,399
211042,38.49,14.933,590
211050,38.404,14.962,500
211060,37.748,14.999,3357
211070,37.1,12.7,-8
211071,36.77,12.02,836
211080,39.284,14.399,-779
212020,37.6186,23.3331,380
212030,36.699,24.439,751
212040,36.404,25.396,367
212042,36.524,25.483,-18
212050,36.5888,27.1553,698
213000,38.58,28.52,750
213002,38.13,34.17,3253
213010,38.531,35.447,3864
213011,37.67,39.83,1957
213020,38.654,42.229,2948
213030,39.356,43.874,3514
213040,39.7,44.3,5165
214010,43.351,42.442,5642
214020,42.7,44.5,5050
214050,41.542,43.7,3290
214060,40.53,44.2,4095
214070,40.283,45,3597
214080,39.797,45.497,2575
214090,40.028,45.74,3029
214100,39.742,45.992,3139
221010,15.55,41.83,244
221020,15.05,42.18,191
221021,14.02,42.75,624
221022,13.72,42.73,422
221040,14.88,39.92,904
221041,14.242,40.3,-48
221050,13.975,40.408,287
221060,13.793,40.553,578
221071,13.725,40.6,668
221080,13.601,40.666,585
221090,13.512,40.631,988
221091,13.51,40.722,493
221100,13.579,41.809,1625
221101,13.37,41.7,2218
221102,13.27,41.65,1875
221103,13.18,41.725,1611
221104,13.098,41.599,1338
221105,13.106,41.161,493
221106,13.284,41.063,655
221107,13.304,40.987,784
221110,13.088,40.853,1250
221111,13.013,40.185,1745
221112,12.888,40.573,1496
221113,12.595,40.48,1401
221114,12.38,40.07,1302
221115,12.17,40.82,600
221116,11.816,40.242,852
221120,11.88,41.208,625
221122,12.38,42.2,600
221123,12.469,42.404,1993
221124,12.55,42.53,600
221125,12.95,42.43,987
221126,11.58,42.47,298
221127,11.75,41.48,700
221141,11.28,41.63,1068
221150,11.08,41.27,1459
221151,10.58,41.042,1383
221160,10.082,40.702,2145
221170,10.063,40.831,1670
221171,9.78,40.33,900
221172,9.57,40.28,878
221180,9.35,40.13,1151
221190,8.985,39.906,2007
221191,8.95,39.75,1100
221200,8.8105,39.6946,1380
221210,8.558,39.475,2447
221220,8.78,38.98,1850
221222,8.43,39.35,1765
221230,8.363,39.172,1909
221250,8.2114,39.0812,2345
221251,8.013,39.062,1886
221252,7.874,38.902,1889
221260,8.05,38.35,2281
221270,7.77,38.78,2335
221280,7.4569,38.5571,2075
221290,7.193,38.39,2289
221291,7.07,38.1,1700
221294,6.76,37.97,1594
221320,5.117,35.892,912
221330,3.971,38.213,1500
222001,4.0631,36.0458,490
222010,3.496,36.0365,518
222020,2.6364,36.5958,800
222021,2.32,37.97,1707
222030,2.32,36.57,1032
222040,1.98,36.43,817
222050,1.57,37.9,699
222051,1.5,36.33,1285
222052,1.15,36.23,1528
222053,0.92,36.18,1697
222054,0.77,36.12,1446
222055,0.62,36.075,1130
222056,0.23,37.87,750
222060,-0.2,36.07,2278
222070,-0.38,34.5,1751
222071,-0.546,36.249,2126
222080,-0.65,36.22,2856
222090,-0.904,36.292,2434
222100,-0.914,36.446,2776
222110,-1.151,36.357,2356
222120,-2.764,35.914,2962
222130,-2.68,37.88,2188
222160,-3.244,36.75,4550
222161,-4.889,31.933,1146
222164,-9.0036,33.552,2614
222166,-9.135,33.668,2953
222170,-9.229,33.792,2176
223001,0.7,30.25,1615
223002,0.45,30.25,1430
223003,-0.08,29.92,1067
223004,-0.2,30.08,1554
223005,-0.471,30.191,1707
223020,-1.408,29.2,3058
223030,-1.52,29.25,3470
223040,-1.506,29.45,4490
223050,-1.458,29.485,3696
223060,-1.383,29.678,4103
223070,-1.304,29.683,2100
224002,3.35,8.52,2260
224003,3.35,8.63,2009
224004,3.588,8.762,2999
224010,4.203,9.17,4095
224011,4.758,9.717,500
224030,6.25,10.5,3011
225001,17.68,8.5,1780
225004,22.67,5,1467
225005,23.33,5.83,2918
225006,23.92,5.83,1672
225009,21.33,16.33,2000
225010,21.03,16.45,3265
225020,20.92,17.28,3100
225021,19.8,18.53,3415
225030,12.95,24.27,3042
225040,14.57,25.85,1779
225050,15.32,26.47,2000
225060,18.33,32.75,670
231001,32.333,37.583,1100
231040,25.17,37.75,1370
231050,26.58,40.2,1625
231060,25.5,40,2093
231070,23.08,39.78,1744
231071,22.8,41.38,1475
231072,18.37,41.63,587
231080,17.05,42.83,305
231090,15.6025,44.0978,3100
231110,15.4,45.1,1550
231120,14.57,44.67,3500
231160,13.58,46.12,1737
231170,14.067,48.3,604
231180,15.515,50.935,464
232010,35.951,52.109,5670
233001,-11.47,43.33,1087
233005,-12.83,45.17,660
233010,-11.75,43.38,2361
233011,-12.6,49.15,1475
233012,-13.32,48.48,214
233013,-14.3,48.67,2878
233014,-19.033,46.7,1800
233015,-19.85,46.942,2644
233020,-21.244,55.708,2632
234000,-37.7216,77.8221,-650
234001,-37.83,77.52,881
234002,-38.72,77.53,268
234010,-53.106,73.513,2745
234011,-53.03,72.6,230
234020,-49.58,69.5,1840
234030,-46.43,52.2,1090
234040,-46.42,51.75,934
234050,-46.1,50.23,775
234060,-46.63,37.95,672
234070,-46.9,37.75,1230
241020,-36.89,174.81,260
241021,-37.28,176.25,355
241030,-39.3,174.07,2518
241040,-37.52,177.18,294
