Site,Lat,Lon,Height,Dt,Days,N_ITRF2005,N-1sigma_ITRF2005,E_ITRF2005,E-1sigma_ITRF2005,U_ITRF2005,U-1sigma_ITRF2005,N_Cari,N-1sigma_Cari,E_Cari,E-1sigma_Cari,U_Cari,U-1sigma_Cari
ACOS,10.5485,84.6024,300.52,14.07,50,11.8,0.3,16.7,0.6,0.1,1.2,4.8,0.5,3.4,0.7,-0.1,1.2
AGUS,9.7241,84.6284,70.55,3.01,8,17,1.3,17.4,3.5,6.9,5.9,10.1,1.4,3.7,3.6,6.7,5.9
BAGA,10.5414,85.2612,123.46,10.01,9,21.6,0.5,12.8,1.2,0.1,1.4,15,0.7,-0.6,1.3,-0.1,1.4
BALL,10.3834,85.4484,118.18,14.07,9,23.8,0.3,13.6,0.3,0.3,0.9,17.3,0.6,0.2,0.5,0,0.9
BONG,9.7438,85.2069,21.4,10.04,11,25,0.8,15.6,0.8,-4.5,2,18.4,0.9,1.9,0.9,-4.7,2
CABU,10.1358,84.7756,499.18,7.26,10,16.6,1,12.3,1,0.4,2.5,9.7,1.1,-1.3,1.1,0.2,2.5
CEBA,10.2491,85.7761,90.32,10.06,11,21.3,0.5,13.7,0.7,-4,1.8,14.8,0.7,0.2,0.8,-4.2,1.8
CORO,9.863,85.3696,98.86,3,7,29,0.6,12.4,3.4,1.2,5.9,22.3,0.7,-1.2,3.4,1,5.9
CRUZ,11.0543,85.6337,267.23,14.11,13,16.2,1,6.8,0.7,-0.3,1.6,9.7,1.1,-6.3,0.8,-0.5,1.6
DIRI,10.2718,85.6106,82.04,10.06,13,24.5,0.3,13.8,0.8,-0.2,1.8,17.9,0.5,0.4,0.9,-0.5,1.8
GRAN,10.5622,85.653,122.36,14.09,17,20.8,0.3,11,0.4,-1.7,0.9,14.3,0.6,-2.3,0.5,-2,0.9
GUAR,10.14,85.4497,135.44,7.04,6,26.1,0.3,15.1,1.5,-6.8,2,19.5,0.6,1.6,1.5,-7,2
GUIO,9.9231,85.6585,31.18,10.02,10,29.9,0.5,22.6,0.6,-9.6,1.1,23.4,0.7,9,0.7,-9.9,1.1
HOJA,10.0795,85.3824,240.98,10.05,13,25.8,0.2,16.9,1.2,0.1,1.2,19.2,0.5,3.3,1.3,-0.2,1.2
JICA,9.9751,85.136,61.45,14.07,14,21.6,0.3,15.5,0.4,-1.2,0.9,14.9,0.5,1.9,0.6,-1.4,0.9
LEON,9.9365,85.1868,276.88,10,9,22.4,0.4,16.1,0.7,-3.4,1.6,15.7,0.6,2.5,0.8,-3.6,1.6
LOCA,9.6701,85.0742,157.6,3.02,7,21,1.4,21.4,2.4,-1.9,3.8,14.3,1.5,7.7,2.5,-2.2,3.8
MATA,10.3553,85.8129,77.8,14.06,17,20.1,0.3,11.3,0.9,-3.6,1.1,13.7,0.5,-2.1,1,-3.8,1.1
PALO,10.2415,85.2203,40.19,10.03,10,22.2,0.6,14.8,0.5,-4.2,1.6,15.5,0.8,1.4,0.6,-4.4,1.6
PAQU,9.8322,84.9551,80.31,14.08,13,22.1,0.4,15.1,0.5,-2.4,1.4,15.4,0.6,1.4,0.6,-2.7,1.4
POTR,10.8474,85.5691,155.8,10.05,15,18.6,0.6,9.2,1.4,0.2,1.7,12.1,0.7,-4,1.5,0,1.7
SAMA,9.8892,85.5488,45.57,14.05,11,31.8,0.4,18.7,0.6,-10.6,0.9,25.3,0.6,5.1,0.7,-10.8,0.9
SJOS,10.3656,84.9482,1062.24,14.1,12,19,0.4,13.5,0.5,0.1,1.2,12.3,0.6,0.1,0.6,-0.1,1.2
SJUA,10.0632,85.7569,44.36,14.06,13,24.6,0.5,18.5,0.8,-7.7,1.1,18.1,0.6,4.9,0.9,-8,1.1
TENO,10.6018,85.0983,373.45,10.05,10,20,0.6,11.5,1.2,-1.6,2.1,13.3,0.8,-1.8,1.3,-1.8,2.1
VENA,10.1611,85.7917,24.76,10.03,11,22.1,0.5,15.7,0.9,-5.3,1.6,15.6,0.7,2.2,1,-5.5,1.6
BIJA,9.75,84.5769,555.63,0.8,294,20.8,3.6,17.3,2.9,12.8,9.2,13.9,3.6,3.6,2.9,12.5,9.2
BON2,9.7645,85.2025,27.97,5.32,1702,22.6,0.6,14.7,0.6,-4.6,1.5,15.9,0.8,1,0.7,-4.8,1.5
