Site,Lat,Lon,N_vel,N_vel_std,E_vel,E_vel_std,N_disp,N_disp_std,E_disp,E_disp_std,N_WRMS,N_SNR,E_WRMS,E_SNR
BON2,9.764,-85.203,21.4,1.6,15.2,3.7,-11.2,0.6,-14.4,1.8,3,3.8,8.7,1.7
ELVI,10.394,-85.446,30.5,11.1,-3.2,15.3,-3.5,2,-5.6,9.1,3.9,0.9,12.8,0.4
GRZA,9.915,-85.636,30.6,3.3,25.3,8.6,-8.9,0.7,-17.2,2.3,2.6,3.4,8.6,2
HATI,10.291,-85.71,19.1,4.1,20.4,4.9,-3.5,1,-12.4,7.9,2.8,1.3,8.3,1.5
HUA2,10.017,-85.352,21.9,1.4,17.2,2.1,-4.8,1.3,-13,4.8,2.7,1.8,9.4,1.4
INDI,9.864,-85.585,29,1.5,15.8,2.2,-6.4,1.1,-11.8,2.9,2.9,2.2,9.1,1.3
LEPA,9.945,-85.031,18,3.3,17.2,8.4,-8.3,0.9,-15.5,2.6,3.8,2.2,9.3,1.7
LMNL,10.268,-85.053,20.2,3.2,5.6,10.4,-5.2,1.5,0.2,6,2.9,1.8,10.6,0
PNEG,10.195,-85.829,16.7,1.7,12.1,4.7,-4.6,0.8,-10.6,2.2,2.9,1.6,9.4,1.1
PUJE,10.11,-85.27,18.6,1.4,16.2,3.7,-1.8,1.1,-12.1,3.1,2.7,0.7,8.8,1.4
PUMO,10.064,-84.967,15.7,4,2.5,14.3,-4.2,1.6,-3.3,5.8,2.9,1.5,10.4,0.3
QSEC,9.84,-85.357,25.5,3.4,16.6,8.9,-8.5,0.9,-21.6,3,2.9,2.9,8.6,2.5
