STAT,LON,LAT,ELV,DISP_E,DISP_N,DISP_V,ERR_e,ERR_n,ERR_v,DATE0,DATE1,DURATION
BAGA,-85.26120012,10.54135356,123.3862,-0.088985,-0.159787,-0.0758,0.00648228,0.00253357,0.0113871,2010.173,2012.702,2.529
BALL,-85.44844573,10.38340945,118.0286,-0.121931,-0.304072,-0.148559,0.00513687,0.00198933,0.00812632,2010.175,2012.708,2.533
BONG,-85.20694331,9.743755992,21.5749,0.00181857,-0.283026,0.254398,0.00460562,0.00255768,0.00889386,2010.181,2012.694,2.513
CEBA,-85.77609623,10.24913087,90.4377,-0.125579,-0.067871,0.175052,0.00647316,0.00252043,0.0102703,2010.181,2012.697,2.516
CRUZ,-85.63366292,11.05427052,267.1898,0.0183457,-0.0490838,-0.0402452,0.00775398,0.00398063,0.0150917,2010.189,2012.71,2.521
DIRI,-85.61062931,10.27176097,82.0235,-0.050477,-0.199273,-0.0246958,0.00579411,0.00223346,0.00998404,2010.181,2012.694,2.513
GRAN,-85.65303338,10.56222357,122.2378,-0.0122665,-0.162242,-0.0798279,0.00451048,0.00203239,0.00838306,2010.184,2012.702,2.518
GUAR,-85.45009646,10.1401352,136.3063,-0.115063,-0.280968,0.0451224,0.0062258,0.0019276,0.00990522,2010.162,2012.691,2.529
GUIO,-85.65854567,9.92305413,31.4291,-0.412382,-0.467863,0.368078,0.00483094,0.00226911,0.00859012,2010.17,2012.691,2.521
HOJA,-85.38236266,10.07947412,241.0257,-0.13131,-0.249222,0.0554479,0.00746332,0.00233512,0.0106241,2010.175,2012.689,2.514
JICA,-85.1359775,9.975062528,61.3981,-0.102033,-0.156872,-0.0310832,0.00510091,0.00224128,0.00940533,2010.175,2012.699,2.524
LEON,-85.18683891,9.936530809,276.9048,-0.0331918,-0.151272,0.0629816,0.00533566,0.00212256,0.00870254,2010.17,2012.689,2.519
MATA,-85.81289886,10.35527374,77.7866,-0.0345389,-0.0618621,0.0463684,0.00625357,0.00300291,0.0149906,2010.186,2012.697,2.511
PALO,-85.22030728,10.24148923,40.0456,-0.205955,-0.247063,-0.0844538,0.00655458,0.0026625,0.0107133,2010.186,2012.702,2.516
PAQU,-84.95508694,9.832211554,80.2585,-0.0285431,-0.071987,-0.0112616,0.00631004,0.0023808,0.0101339,2010.167,2012.702,2.535
POTR,-85.56905007,10.84738166,155.7458,0.00611117,-0.0905182,-0.066714,0.00632585,0.00248061,0.0100204,2010.189,2012.713,2.524
SAMA,-85.5487561,9.889170813,45.916,-0.286743,-0.601601,0.531354,0.0045976,0.0020535,0.00797734,2010.17,2012.691,2.521
